Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],A-AtomicNumber,A-AtomicMass,A-NumberofNeutrons,A-NumberofProtons,A-NumberofElectrons,A-Period,A-Group,A-AtomicRadius,A-Electronegativity,A-FirstIonization,A-Density,A-MeltingPoint,A-BoilingPoint,A-NumberOfIsotopes,A-SpecificHeat,A-NumberofShells,B-AtomicNumber,B-AtomicMass,B-NumberofNeutrons,B-NumberofProtons,B-NumberofElectrons,B-Period,B-Group,B-Electronegativity,B-FirstIonization,B-Density,B-MeltingPoint,B-BoilingPoint,B-NumberOfIsotopes,B-SpecificHeat,B-NumberofShells,Vacancy energy [eV/O atom]
GaCrO3,Ga,Cr,FALSE,1,5,0.62,0.49,cubic,-1.394,0.897,0.433,10.66,0,3.763,3.763,3.763,90,90,90,31,69.723,39,31,31,4,13,1.8,1.81,5.9993,5.91,302.91,2477,14,0.371,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-1.107
GdCrO3,Gd,Cr,TRUE,3,3,1.11,0.62,orthorhombic,-3.185,-0.048,0.6,11.301,2.406,5.307,5.585,7.625,90,90,90,64,157.25,93,64,64,6,,2.5,1.2,6.1501,7.9,1585.15,3546,17,0.236,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.365
GeCrO3,Ge,Cr,FALSE,2,4,0.73,0.55,cubic,-1.431,0.66,0.4,10.822,0,3.782,3.782,3.782,90,90,90,32,72.64,41,32,32,4,14,1.5,2.01,7.8994,5.32,1211.45,3106,17,0.32,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,1.067
HfCrO3,Hf,Cr,FALSE,2,4,0.83,0.55,cubic,-2.046,1.085,0.529,10.687,0,3.767,3.767,3.767,90,90,90,72,178.49,106,72,72,6,4,2.2,1.3,6.8251,13.3,2500.15,4876,17,0.144,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,2.003
HgCrO3,Hg,Cr,FALSE,1,5,1.19,0.49,orthorhombic,-1.298,0.153,0.4,11.21,0,5.426,5.478,7.543,90,90,90,80,200.59,121,80,80,6,12,1.8,2,10.4375,13.5,234.43,630,26,0.14,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.364
HoCrO3,Ho,Cr,TRUE,3,3,1.12,0.62,orthorhombic,-3.211,-0.033,0.6,11.031,2.474,5.247,5.561,7.561,90,90,90,67,164.93,98,67,67,6,,2.5,1.23,6.0215,8.8,1743.15,2993,29,0.165,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.185
InCrO3,In,Cr,FALSE,1,5,0.92,0.49,cubic,-1.622,0.541,0.543,11.16,0,3.821,3.821,3.821,90,90,90,49,114.818,66,49,49,5,13,2,1.78,5.7864,7.31,429.91,2345,34,0.233,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.425
IrCrO3,Ir,Cr,FALSE,3,3,0.68,0.62,cubic,-0.477,1.243,0.527,10.89,0,3.79,3.79,3.79,90,90,90,77,192.217,115,77,77,6,9,1.9,2.2,8.967,22.6,2716.15,4701,25,0.131,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-2.471
KCrO3,K,Cr,FALSE,1,5,1.64,0.49,tetragonal,-1.76,0.289,0.237,13.099,0,3.614,3.614,5.013,90,90,90,19,39.098,20,19,19,4,1,2.8,0.82,4.3407,0.862,336.5,1032,10,0.757,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.011
LaCrO3,La,Cr,TRUE,3,3,1.36,0.62,orthorhombic,-3.168,-0.071,0.6,12.024,2.07,5.506,5.586,7.819,90,90,90,57,138.905,82,57,57,6,3,2.7,1.1,5.5769,6.15,1193.15,3737,19,0.195,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.845
LiCrO3,Li,Cr,FALSE,1,5,0.92,0.49,orthorhombic,-1.83,0.232,0.2,8.687,0,4.857,5.074,7.049,90,90,90,3,6.941,4,3,3,2,1,2.1,0.98,5.3917,0.534,453.85,1615,5,3.582,2,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.06
LuCrO3,Lu,Cr,TRUE,3,3,1.03,0.62,orthorhombic,-3.233,-0.011,0.6,10.7,2.393,5.175,5.519,7.493,90,90,90,71,174.967,104,71,71,6,,2.3,1.27,5.4259,9.84,1936.15,3675,22,0.154,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,3.926
MgCrO3,Mg,Cr,FALSE,2,4,0.89,0.55,cubic,-1.937,0.564,0.399,10.386,0,3.731,3.731,3.731,90,90,90,12,24.305,12,12,12,3,2,1.7,1.31,7.6462,1.74,923.15,1363,8,1.023,3,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.439
MnCrO3,Mn,Cr,FALSE,2,4,0.96,0.55,cubic,-1.739,0.511,1.4,10.557,0,3.751,3.751,3.751,90,90,90,25,54.938,30,25,25,4,7,1.8,1.55,7.434,7.44,1519.15,2334,11,0.479,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.722
MoCrO3,Mo,Cr,FALSE,3,3,0.69,0.62,cubic,-1.128,1.082,1.2,10.906,0,3.792,3.792,3.792,90,90,90,42,95.96,54,42,42,5,6,2,2.16,7.0924,10.2,2890.15,4912,20,0.251,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.144
NaCrO3,Na,Cr,FALSE,1,5,1.39,0.49,orthorhombic,-1.743,0.27,0.2,9.961,0,5.151,5.228,7.398,90,90,90,11,22.99,12,11,11,3,1,2.2,0.93,5.1391,0.971,371.15,1156,7,1.228,3,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-12.261
NbCrO3,Nb,Cr,FALSE,3,3,0.72,0.62,orthorhombic,-2.265,0.223,1,10.911,0,5.348,5.687,7.174,90,90,90,41,92.906,52,41,41,5,5,2.1,1.6,6.7589,8.57,2741.15,5017,24,0.265,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.74
NdCrO3,Nd,Cr,TRUE,3,3,1.27,0.62,orthorhombic,-3.122,-0.071,0.6,11.777,2.29,5.426,5.602,7.748,90,90,90,60,144.242,84,60,60,6,,2.6,1.14,5.525,7.01,1289.15,3347,16,0.19,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.678
NiCrO3,Ni,Cr,FALSE,2,4,0.69,0.55,cubic,-1.078,0.694,-0.001,10.198,0,3.708,3.708,3.708,90,90,90,28,58.693,31,28,28,4,10,1.6,1.91,7.6398,8.91,1726.15,3186,11,0.444,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-
NpCrO3,Np,Cr,FALSE,element not in BV,element not in BV,0.98,0.58,orthorhombic,-3.083,-0.029,1.4,11.729,1.131,5.441,5.555,7.761,90,90,90,93,237,144,93,93,7,,,1.36,6.2657,20.5,913.15,4273,153,,7,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.866
OsCrO3,Os,Cr,FALSE,element not in BV,element not in BV,0.57,0.58,cubic,-0.401,1.363,1.465,11.049,0,3.809,3.809,3.809,90,90,90,76,190.23,114,76,76,6,8,1.9,2.2,8.4382,22.6,3300.15,5285,19,0.13,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-2.734
PaCrO3,Pa,Cr,FALSE,element not in BV,element not in BV,0.95,0.58,cubic,-2.208,0.479,1,11.778,0,3.891,3.891,3.891,90,90,90,91,231.036,140,91,91,7,,,1.5,5.89,15.4,1873.15,4300,14,,7,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,3.253
PbCrO3,Pb,Cr,FALSE,2,4,1.49,0.55,orthorhombic,-1.79,0.08,0.468,11.637,0,5.425,5.554,7.724,90,90,90,82,207.2,125,82,82,6,14,1.8,2.33,7.4167,11.3,600.75,2022,29,0.129,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,1.768
PdCrO3,Pd,Cr,FALSE,2,4,0.86,0.55,cubic,-0.972,0.554,-0.001,10.735,0,3.772,3.772,3.772,90,90,90,46,106.42,60,46,46,5,10,1.8,2.2,8.3369,12,1825.15,3236,21,0.244,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.047
PmCrO3,Pm,Cr,FALSE,element not in BV,element not in BV,1.14,0.58,orthorhombic,-3.143,-0.063,0.6,11.625,2.375,5.386,5.594,7.716,90,90,90,61,145,84,61,61,6,,2.6,1.13,5.582,7.26,1204.15,3273,14,,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.594
PrCrO3,Pr,Cr,TRUE,3,3,1.18,0.62,orthorhombic,-3.104,-0.075,0.6,11.895,2.237,5.462,5.596,7.782,90,90,90,59,140.908,82,59,59,6,,2.7,1.13,5.473,6.77,1204.15,3793,15,0.193,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.766
PtCrO3,Pt,Cr,FALSE,element not in BV,element not in BV,0.67,0.58,cubic,-0.692,0.897,0.003,10.807,0,3.781,3.781,3.781,90,90,90,78,195.084,117,78,78,6,10,1.8,2.28,8.9587,21.5,2045.15,4098,32,0.133,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.677
PuCrO3,Pu,Cr,TRUE,element not in BV,element not in BV,0.96,0.58,orthorhombic,-3.12,-0.063,1.6,11.682,1.57,5.463,5.529,7.735,90,90,90,94,244,150,94,94,7,,,1.28,6.0262,19.8,913.15,3501,163,,7,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-
RbCrO3,Rb,Cr,FALSE,1,5,1.72,0.49,cubic,-1.509,0.537,0.2,11.14,0,3.819,3.819,3.819,90,90,90,37,85.468,48,37,37,5,1,3,0.82,4.1771,1.53,312.79,961,20,0.363,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.714
ReCrO3,Re,Cr,FALSE,not balanced,not balanced,0.57,0.58,cubic,-0.575,1.434,1.399,11.036,0,3.807,3.807,3.807,90,90,90,75,186.207,111,75,75,6,7,2,1.9,7.8335,21,3453.15,5869,21,0.137,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-2.512
RhCrO3,Rh,Cr,FALSE,3,3,0.67,0.62,cubic,-0.803,0.905,0.867,10.584,0,3.754,3.754,3.754,90,90,90,45,102.906,58,45,45,5,9,1.8,2.28,7.4589,12.4,2239.15,3968,20,0.243,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-1.031
RuCrO3,Ru,Cr,FALSE,2,4,0.68,0.55,cubic,-0.791,1.02,1.344,10.888,0,3.79,3.79,3.79,90,90,90,44,101.07,57,44,44,5,8,1.9,2.2,7.3605,12.4,2523.15,4423,16,0.238,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.858
SbCrO3,Sb,Cr,FALSE,3,3,0.76,0.62,orthorhombic,-1.891,0.139,0.6,11.448,0.811,5.272,5.679,7.647,90,90,90,51,121.76,71,51,51,5,15,1.5,2.05,8.6084,6.69,904.05,1860,29,0.207,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,2.906
ScCrO3,Sc,Cr,FALSE,1,5,0.87,0.49,cubic,-2.486,0.658,0.6,10.702,0.436,3.768,3.768,3.768,90,90,90,21,44.956,24,21,21,4,3,2.1,1.36,6.5615,2.99,1812.15,3109,15,0.568,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,2.781
SiCrO3,Si,Cr,FALSE,2,4,0.4,0.55,cubic,-1.231,1.486,0.4,10.623,0,3.759,3.759,3.759,90,90,90,14,28.086,14,14,14,3,14,1.5,1.9,8.1517,2.33,1683.15,3538,8,0.705,3,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.629
SmCrO3,Sm,Cr,TRUE,3,3,1.24,0.62,orthorhombic,-3.151,-0.06,0.6,11.543,2.441,5.364,5.595,7.691,90,90,90,62,150.36,88,62,62,6,,2.6,1.17,5.6437,7.52,1345.15,2067,17,0.197,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.538
SnCrO3,Sn,Cr,FALSE,2,4,0.81,0.55,orthorhombic,-1.939,0.195,0.623,11.276,0,5.295,5.543,7.684,90,90,90,50,118.71,69,50,50,5,14,1.7,1.96,7.3439,7.29,505.21,2875,28,0.228,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,1.68
SrCrO3,Sr,Cr,FALSE,2,4,1.44,0.55,orthorhombic,-2.561,0.041,0.4,11.412,0.777,5.457,5.457,7.664,90,90,90,38,87.62,50,38,38,5,2,2.5,0.95,5.6949,2.64,1042.15,1655,18,0.301,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,1.791
TaCrO3,Ta,Cr,FALSE,1,5,0.74,0.49,orthorhombic,-2.33,0.332,0.599,10.669,0,5.225,6.038,6.765,90,90,90,73,180.948,108,73,73,6,5,2.1,1.5,7.5496,16.7,3269.15,5731,19,0.14,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-2.758
TbCrO3,Tb,Cr,TRUE,3,3,1.1,0.62,orthorhombic,-3.064,-0.043,0.6,11.209,2.475,5.286,5.578,7.603,90,90,90,65,158.925,94,65,65,6,,2.5,1.2,5.8638,8.23,1630.15,3503,24,0.182,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.313
TcCrO3,Tc,Cr,FALSE,element not in BV,element not in BV,0.6,0.58,cubic,-0.987,1.019,1.399,11.009,0,3.804,3.804,3.804,90,90,90,43,98,55,43,43,5,7,2,1.9,7.28,11.5,2473.15,5150,23,,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.212
TeCrO3,Te,Cr,FALSE,2,4,0.97,0.55,cubic,-1.264,0.561,0.58,11.61,0,3.872,3.872,3.872,90,90,90,52,127.6,76,52,52,5,16,1.4,2.1,9.0096,6.23,722.8,1261,29,0.202,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,2.348
ThCrO3,Th,Cr,FALSE,4,2,1.21,0.8,orthorhombic,-3.282,0.088,0.8,13.172,2.02,5.486,6.329,7.588,90,90,90,90,232.038,142,90,90,7,,,1.3,6.3067,11.7,2028.15,5061,12,0.113,7,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.11
TiCrO3,Ti,Cr,FALSE,2,4,0.86,0.55,orthorhombic,-2.647,0.158,0.8,9.609,0,4.894,5.313,7.392,90,90,90,22,47.867,26,22,22,4,4,2,1.54,6.8281,4.54,1933.15,3560,9,0.523,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.834
TlCrO3,Tl,Cr,FALSE,3,3,0.98,0.62,orthorhombic,-1.672,0.038,0.6,11.302,0.543,5.342,5.501,7.693,90,90,90,81,204.383,123,81,81,6,13,2.1,2.04,6.1082,11.9,577.15,1746,28,0.129,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,0.334
TmCrO3,Tm,Cr,TRUE,3,3,1.05,0.62,orthorhombic,-3.229,-0.022,0.6,10.864,2.496,5.209,5.541,7.528,90,90,90,69,168.934,100,69,69,6,,2.4,1.25,6.1843,9.32,1818.15,2223,18,0.16,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.031
UCrO3,U,Cr,FALSE,3,3,1.03,0.62,rhombohedral,-2.959,0.16,1.2,11.898,0.418,5.471,5.471,5.471,61.2,61.2,61.2,92,238.029,146,92,92,7,,,1.38,6.1941,19,1405.15,4404,15,0.116,7,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.983
VCrO3,V,Cr,FALSE,2,4,0.79,0.55,cubic,-1.686,0.87,1,10.403,0,3.733,3.733,3.733,90,90,90,23,50.942,28,23,23,4,5,1.9,1.63,6.7462,6.11,2175.15,3680,9,0.489,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.869
WCrO3,W,Cr,FALSE,3,3,0.66,0.62,cubic,-0.8,1.434,1.199,10.965,0,3.799,3.799,3.799,90,90,90,74,183.84,110,74,74,6,6,2,2.36,7.864,19.3,3680.15,5828,22,0.132,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-2.864
YCrO3,Y,Cr,TRUE,3,3,1.08,0.62,orthorhombic,-3.178,-0.033,0.6,11.195,2.6,5.281,5.578,7.6,90,90,90,39,88.906,50,39,39,5,3,2.3,1.22,6.2173,4.47,1799.15,3609,21,0.298,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,4.248
YbCrO3,Yb,Cr,TRUE,3,3,1.04,0.62,orthorhombic,-2.789,-0.024,0.4,10.367,0.578,5.191,5.406,7.389,90,90,90,70,173.054,103,70,70,6,,2.4,1.1,6.2542,6.97,1097.15,1469,16,0.155,6,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,1.718
ZnCrO3,Zn,Cr,FALSE,2,4,0.9,0.55,cubic,-1.335,0.618,0.398,10.405,0,3.733,3.733,3.733,90,90,90,30,65.38,35,30,30,4,12,1.5,1.65,9.3942,7.13,692.88,1180,15,0.388,4,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,-0.105
ZrCrO3,Zr,Cr,FALSE,1,5,0.89,0.49,cubic,-2.191,0.816,0.502,10.805,0,3.78,3.78,3.78,90,90,90,40,91.224,51,40,40,5,4,2.2,1.33,6.6339,6.51,2125.15,4682,20,0.278,5,24,51.996,28,24,24,4,6,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,2.431
AcCsO3,Ac,Cs,FALSE,element not in BV,element not in BV,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0,4.179,4.179,5.702,90,90,90,89,227,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,0.12,7,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-1.411
AgCsO3,Ag,Cs,FALSE,not balanced,not balanced,1.28,1.67,cubic,0.539,1.287,-,16.599,0,4.362,4.362,4.362,90,90,90,47,107.868,61,47,47,5,11,1.8,1.93,7.5762,10.5,1234.15,2435,27,0.235,5,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-1.803
AlCsO3,Al,Cs,FALSE,not balanced,not balanced,0.54,1.67,cubic,0.425,2.668,-,17.34,0,4.426,4.426,4.426,90,90,90,13,26.982,14,13,13,3,13,1.8,1.61,5.9858,2.7,933.4,2792,8,0.897,3,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-12.888
AsCsO3,As,Cs,FALSE,not balanced,not balanced,0.52,1.67,cubic,0.861,2.563,-,17.457,0,4.436,4.436,4.436,90,90,90,33,74.922,42,33,33,4,15,1.3,2.18,9.7886,5.78,1090.15,887,14,0.329,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-3.766
AuCsO3,Au,Cs,FALSE,element not in BV,element not in BV,0.93,1.67,cubic,0.842,1.586,-,16.659,0,4.367,4.367,4.367,90,90,90,79,196.967,118,79,79,6,11,1.8,2.54,9.2255,19.3,1337.73,3129,21,0.129,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-2.538
BCsO3,B,Cs,FALSE,not balanced,not balanced,0.27,1.67,cubic,1.394,3.422,-,16.308,0,4.336,4.336,4.336,90,90,90,5,10.811,6,5,5,2,13,1.2,2.04,8.298,2.34,2573.15,4200,6,1.026,2,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-1.902
BaCsO3,Ba,Cs,FALSE,not balanced,not balanced,1.61,1.67,cubic,-0.977,0.779,-,19.097,0,4.571,4.571,4.571,90,90,90,56,137.327,81,56,56,6,2,2.8,0.89,5.2117,3.59,1002.15,2170,25,0.204,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-0.67
BeCsO3,Be,Cs,FALSE,not balanced,not balanced,0.45,1.67,cubic,0.936,2.765,-,16.756,0,4.376,4.376,4.376,90,90,90,4,9.012,5,4,4,2,2,1.4,1.57,9.3227,1.85,1560.15,2742,6,1.825,2,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-3.491
BiCsO3,Bi,Cs,FALSE,not balanced,not balanced,1.38,1.67,orthorhombic,-1.214,0.188,-,21.381,1.054,5.406,6.019,13.142,90,90,90,83,208.98,126,83,83,6,15,1.6,2.02,7.2856,9.81,544.67,1837,19,0.122,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-3.043
CaCsO3,Ca,Cs,FALSE,not balanced,not balanced,1.34,1.67,cubic,-0.634,1.287,-,18.02,0,4.483,4.483,4.483,90,90,90,20,40.078,20,20,20,4,2,2.2,1,6.1132,1.54,1112.15,1757,14,0.647,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-1.536
CdCsO3,Cd,Cs,FALSE,not balanced,not balanced,1.31,1.67,cubic,0.302,1.439,-,17.462,0,4.436,4.436,4.436,90,90,90,48,112.411,64,48,48,5,12,1.7,1.69,8.9938,8.69,594.33,1040,22,0.232,5,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-2.614
CeCsO3,Ce,Cs,FALSE,not balanced,not balanced,1.24,1.67,-,-,-,-,-,-,-,-,-,-,-,-,58,140.116,82,58,58,6,,2.7,1.12,5.5387,6.77,1071.15,3716,19,0.192,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
CoCsO3,Co,Cs,FALSE,not balanced,not balanced,0.9,1.67,-,-,-,-,-,-,-,-,-,-,-,-,27,58.933,32,27,27,4,9,1.7,1.88,7.881,8.86,1768.15,3200,14,0.421,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
CrCsO3,Cr,Cs,FALSE,not balanced,not balanced,0.57,1.67,-,-,-,-,-,-,-,-,-,-,-,-,24,51.996,28,24,24,4,6,1.9,1.66,6.7665,7.15,2130.15,2944,9,0.449,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
Cs2O3,Cs,Cs,FALSE,not balanced,not balanced,1.88,1.67,cubic,-0.241,0.887,-,18.689,0,4.538,4.538,4.538,90,90,90,55,132.905,78,55,55,6,1,3.3,0.79,3.8939,1.87,301.7,944,22,0.242,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-1.385
CuCsO3,Cu,Cs,FALSE,not balanced,not balanced,0.68,1.67,cubic,0.678,1.677,-,16.147,0,4.322,4.322,4.322,90,90,90,29,63.546,35,29,29,4,11,1.6,1.9,7.7264,8.96,1357.75,2835,11,0.385,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-2.165
DyCsO3,Dy,Cs,FALSE,not balanced,not balanced,1.08,1.67,-,-,-,-,-,-,-,-,-,-,-,-,66,162.5,97,66,66,6,,2.5,1.22,5.9389,8.55,1680.15,2840,21,0.17,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
ErCsO3,Er,Cs,FALSE,not balanced,not balanced,1.06,1.67,orthorhombic,-1.96,0.552,0,18.157,0.361,5.074,6.003,11.921,90,90,90,68,167.259,99,68,68,6,,2.5,1.24,6.1077,9.07,1795.15,3503,16,0.168,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
EuCsO3,Eu,Cs,FALSE,not balanced,not balanced,1.48,1.67,cubic,-0.846,1.155,0,17.853,0,4.469,4.469,4.469,90,90,90,63,151.964,89,63,63,6,,2.6,1.2,5.6704,5.24,1095.15,1802,21,0.182,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-1.355
FeCsO3,Fe,Cs,FALSE,not balanced,not balanced,0.85,1.67,rhombohedral,-1.184,0.269,0.6,22.234,1.9,6.833,6.833,6.833,59.4,59.4,59.4,26,55.845,30,26,26,4,8,1.7,1.83,7.9024,7.87,1808.15,3134,10,0.449,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
GaCsO3,Ga,Cs,FALSE,not balanced,not balanced,0.62,1.67,cubic,0.297,1.911,-,17.095,0,4.405,4.405,4.405,90,90,90,31,69.723,39,31,31,4,13,1.8,1.81,5.9993,5.91,302.91,2477,14,0.371,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-9.033
GdCsO3,Gd,Cs,FALSE,not balanced,not balanced,1.11,1.67,tetragonal,-1.832,0.628,0.003,16.918,0,3.337,3.337,7.596,90,90,90,64,157.25,93,64,64,6,,2.5,1.2,6.1501,7.9,1585.15,3546,17,0.236,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
GeCsO3,Ge,Cs,FALSE,not balanced,not balanced,0.63,1.67,orthorhombic,-1.547,0.071,-,18.264,0.489,5.682,6.742,9.536,90,90,90,32,72.64,41,32,32,4,14,1.5,2.01,7.8994,5.32,1211.45,3106,17,0.32,4,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-2.225
HfCsO3,Hf,Cs,FALSE,not balanced,not balanced,0.83,1.67,-,-,-,-,-,-,-,-,-,-,-,-,72,178.49,106,72,72,6,4,2.2,1.3,6.8251,13.3,2500.15,4876,17,0.144,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-
HgCsO3,Hg,Cs,FALSE,not balanced,not balanced,1.14,1.67,cubic,0.504,1.328,-,17.469,0,4.437,4.437,4.437,90,90,90,80,200.59,121,80,80,6,12,1.8,2,10.4375,13.5,234.43,630,26,0.14,6,55,132.905,78,55,55,6,1,0.79,3.8939,1.87,301.7,944,22,0.242,6,-2.588
